Waiting_Time_Type,Teta,Mu,Lambda,Analysis_type,PB,PD
Constant,2,1,9.1,Simulation,0.361845,0.528345
Constant,2,1,9.1,Statistical,0.36141796435522633,0.528692174265272
Exponential,2,1,9.1,Simulation,0.320274,0.569328
Exponential,2,1,9.1,Statistical,0.320473743739691,0.5696373085484989
Constant,2,1,9.2,Simulation,0.367792,0.523818
Constant,2,1,9.2,Statistical,0.36697992904102755,0.5243246376992194
Exponential,2,1,9.2,Simulation,0.326776,0.564915
Exponential,2,1,9.2,Statistical,0.3261881888992261,0.5651171851572816
Constant,2,1,9.3,Simulation,0.373283,0.518766
Constant,2,1,9.3,Statistical,0.37246497394802874,0.5200083373862525
Exponential,2,1,9.3,Simulation,0.331126,0.561376
Exponential,2,1,9.3,Statistical,0.33183250939447373,0.5606415159931201
Constant,2,1,9.4,Simulation,0.379204,0.514708
Constant,2,1,9.4,Statistical,0.3778738136329674,0.5157433780783192
Exponential,2,1,9.4,Simulation,0.337065,0.556348
Exponential,2,1,9.4,Statistical,0.3374068005214995,0.5562110233754027
Constant,2,1,9.5,Simulation,0.384526,0.509912
Constant,2,1,9.5,Statistical,0.3832072152022632,0.5115297775290564
Exponential,2,1,9.5,Simulation,0.343215,0.551354
Exponential,2,1,9.5,Statistical,0.3429112516805845,0.5518263012997342
Constant,2,1,9.6,Simulation,0.389179,0.506751
Constant,2,1,9.6,Statistical,0.3884659914173462,0.507367475176129
Exponential,2,1,9.6,Simulation,0.348909,0.546844
Exponential,2,1,9.6,Statistical,0.34834613701475553,0.5474878265548253
Constant,2,1,9.7,Simulation,0.394635,0.502122
Constant,2,1,9.7,Statistical,0.3936509944191564,0.5032563400947363
Exponential,2,1,9.7,Simulation,0.354853,0.54253
Exponential,2,1,9.7,Statistical,0.3537118067744332,0.543195969008307
Constant,2,1,9.8,Simulation,0.400245,0.497411
Constant,2,1,9.8,Statistical,0.39876311002304043,0.4991961782787575
Exponential,2,1,9.8,Simulation,0.358874,0.539134
Exponential,2,1,9.8,Statistical,0.3590086793617993,0.5389510011148564
Constant,2,1,9.9,Simulation,0.404114,0.494826
Constant,2,1,9.9,Statistical,0.4038032525384795,0.4951867393022046
Exponential,2,1,9.9,Simulation,0.364018,0.534547
Exponential,2,1,9.9,Statistical,0.3642372340100798,0.5347531066979422
Constant,2,1,10.0,Simulation,0.409748,0.490321
Constant,2,1,10.0,Statistical,0.40877236007119944,0.4912277224099718
Exponential,2,1,10.0,Simulation,0.369587,0.529932
Exponential,2,1,10.0,Statistical,0.36939800405474726,0.530602389054222
Constant,2,1,10.1,Simulation,0.413684,0.487167
Constant,2,1,10.1,Statistical,0.41367139026818917,0.4873187820834037
Exponential,2,1,10.1,Simulation,0.374685,0.526361
Exponential,2,1,10.1,Statistical,0.37449157075559886,0.5264988784272531
Constant,2,1,10.2,Simulation,0.41933,0.482624
Constant,2,1,10.2,Statistical,0.41850131646900746,0.48345953312287626
Exponential,2,1,10.2,Simulation,0.379639,0.521934
Exponential,2,1,10.2,Statistical,0.37951855763070563,0.522442538894733
Constant,2,1,10.3,Simulation,0.423458,0.479184
Constant,2,1,10.3,Statistical,0.4232631242294577,0.47964955528647285
Exponential,2,1,10.3,Simulation,0.384729,0.517911
Exponential,2,1,10.3,Statistical,0.3844796252653146,0.5184332747110407
Constant,2,1,10.4,Simulation,0.429406,0.474663
Constant,2,1,10.4,Statistical,0.4279578081862596,0.47588839752088874
Exponential,2,1,10.4,Simulation,0.389108,0.514763
Exponential,2,1,10.4,Statistical,0.38937546656087624,0.5144709361444095
Constant,2,1,10.5,Simulation,0.433998,0.47141
Constant,2,1,10.5,Statistical,0.43258636923375077,0.4721755818179471
Exponential,2,1,10.5,Simulation,0.394556,0.511078
Exponential,2,1,10.5,Statistical,0.3942068023914457,0.5105553248456739
Constant,2,1,10.6,Simulation,0.437408,0.468195
Constant,2,1,10.6,Statistical,0.43714981198589586,0.46851060672752987
Exponential,2,1,10.6,Simulation,0.39805,0.506963
Exponential,2,1,10.6,Statistical,0.3989743776367267,0.5066861987832151
Constant,2,1,10.7,Simulation,0.441731,0.464889
Constant,2,1,10.7,Statistical,0.4416491424989879,0.46489295055532476
Exponential,2,1,10.7,Simulation,0.40232,0.50374
Exponential,2,1,10.7,Statistical,0.40367895756301014,0.5028632767764798
Constant,2,1,10.8,Simulation,0.44573,0.461985
Constant,2,1,10.8,Statistical,0.44608536623238404,0.4613220742715526
Exponential,2,1,10.8,Simulation,0.407869,0.498989
Exponential,2,1,10.8,Statistical,0.4083213245251468,0.49908624265829893
Constant,2,1,10.9,Simulation,0.451252,0.457197
Constant,2,1,10.9,Statistical,0.4504594862264421,0.4577974241547628
Exponential,2,1,10.9,Simulation,0.413037,0.494867
